State,City,,Population1,"Violent 
crime",Murder,Rape2,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
,KANSAS CITY,2017,"484,948","4,216",71,227,917,"3,001","10,367","2,207","6,139","2,021",109
,,2018,,"3,794",61,188,761,"2,784","10,185","1,877","6,183","2,125",118
,SPRINGFIELD,2017,"168,654","1,095",6,179,177,733,"7,522","1,152","5,386",984,32
,,2018,,"1,013",4,162,136,711,"5,539",905,"3,950",684,26
,ST. LOUIS,2017,"310,284","2,902",93,126,770,"1,913","8,689","1,443","6,031","1,215",91
,,2018,,"2,722",83,151,652,"1,836","8,476","1,282","6,001","1,193",
MONTANA,BILLINGS,2017,"111,317",276,1,45,22,208,"2,851",341,"2,112",398,9
,,2018,,269,1,29,53,186,"2,671",333,"1,952",386,9
NEBRASKA,LINCOLN,2017,"284,063",486,0,111,91,284,"3,724",537,"3,049",138,
,,2018,,510,2,142,67,299,"3,884",589,"3,118",177,19
,OMAHA,2017,"449,388","1,403",15,196,260,932,"8,348","1,015","5,796","1,537",
,,2018,,"1,258",13,215,187,843,"7,312",824,"5,125","1,363",
NEVADA,HENDERSON,2017,"299,285",283,4,50,111,118,"2,639",550,"1,773",316,12
,,2018,,267,4,34,93,136,"3,063",543,"2,155",365,9
,LAS VEGAS METROPOLITAN POLICE DEPARTMENT,2017,"1,627,244","4,906",70,629,"1,660","2,547","22,888","6,269","12,692","3,927",51
